Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
30.695377669774615,-88.29460564697169,Big Creek Substation,Transmission,230000
30.531686420644448,-88.55362577759414,Plant Daniel Substation,Transmission,500000
30.995581804293295,-88.03157771103302,Ellicott Substation,Transmission,230000
33.648377065957696,-88.2721070375548,Caledonia 500 kv Switching Yard,Transmission,500000
33.64973042660897,-88.27252665329442,Caledonia Substation,Transmission,500000
33.63060139854332,-87.05560636464261,Miller Substation,Transmission,500000
34.608633740071014,-87.05494024943634,Trinity Substation,Transmission,500000
34.70492885996768,-87.11640654718738,Browns Ferry Substation,Transmission,500000
33.635669755857165,-88.65209225812426,West Point Substation,Transmission,500000
34.37749630592458,-88.8589785137613,Union Substation,Transmission,500000
34.718262832587136,-86.84687805964344,Limestone Substation,Transmission,500000
34.79600667862292,-86.52114032242997,Madison Substation,Transmission,500000
35.67276163385968,-87.01841089885292,Maury Substation,Transmission,500000
33.21986413219487,-87.06300925801128,South Bessemer Substation,Transmission,500000
33.74017653550816,-86.55813648094536,Clay Substation,Transmission,500000
32.651189225192134,-86.73265066650085,Billingsley Substation,Transmission,500000
34.194901551567675,-86.74822642852136,East Cullman Substation,Transmission,500000
32.377865411546225,-86.58362322875264,Autaugaville Substation,Transmission,500000
32.22904737872409,-86.26056605401455,Snowdoun Substation,Transmission,500000
34.71021869255719,-85.92902564475645,Bellefonte Substation,Transmission,500000
31.223357738347516,-85.11616462847249,Farley Substation,Transmission,500000
32.609875278878334,-84.91568673590521,Fortson Substation,Transmission,500000
31.367150110837105,-84.10675206696769,Raccoon Creek Substation,Transmission,500000
35.68031232333246,-91.41250157822923,Independence Substation,Transmission,500000
34.956861962763774,-92.04887550002235,Holland Bottoms Substation,Transmission,500000
35.3120586586687,-93.22741327101278,Arkansas Nuclear One Substation,Transmission,500000
34.633820766605524,-92.41076826016297,Mabelvale Substation,Transmission,500000
35.29979621022583,-94.4309387403962,Fort Smith Substation,Transmission,500000
35.24318160662274,-92.71390441869026,Pleasant Hill Substation,Transmission,500000
31.293079793909982,-81.68059537460871,Thalmann Substation,Transmission,500000
31.934990444290346,-82.3473267487448,Hatch Nuclear Plant Substation,Transmission,500000
33.145746082969495,-81.76278447813908,Vogtle Substation (500KV/230KV),Transmission,500000
32.88471545780476,-82.41619716711709,Wadley Substation,Transmission,500000
33.454511219722065,-82.41463243682281,Thomson Primary Substation,Transmission,500000
32.35416955600418,-81.18202289447007,West McIntosh Substation,Transmission,500000
33.11960996146089,-82.85952057103519,Warthen Substation,Transmission,500000
32.27422654224199,-81.28191220418223,Blandford Substation,Transmission,500000
